system:time_start,sumArea
1-Dec-15,
1-Dec-16,"74,252.28"
1-Jan-17,"27,297.31"
1-Feb-17,"27,964.90"
1-Oct-17,"2,002.79"
1-Nov-17,"1,038.49"
1-Dec-17,
1-Jan-18,
1-Feb-18,
1-Mar-18,
1-Oct-18,
1-Nov-18,"1,780.26"
1-Jan-19,
1-Feb-19,
1-Mar-19,
1-Jan-20,
1-Feb-20,
1-Mar-20,
