system:time_start,sumArea
"Dec 1, 2015",
"Dec 1, 2016",
"Jan 1, 2017",
"Feb 1, 2017","1,475.707"
"Oct 1, 2017",
"Nov 1, 2017",
"Dec 1, 2017",
"Jan 1, 2018",
"Feb 1, 2018",
"Mar 1, 2018","2,213.556"
"Oct 1, 2018","1,254.35"
"Nov 1, 2018",
"Jan 1, 2019",
"Feb 1, 2019",737.854
"Mar 1, 2019","2,508.695"
"Jan 1, 2020",
"Feb 1, 2020",
"Mar 1, 2020","2,656.27"
