landslide_fid,id,time_of_occurrence,damage_description,size_category,trigger,debris_type,material_type,movement_type,metadata_id,aspect,activity,x_coordinate,y_coordinate,severity_name,debris_type_name,material_type_name,movement_type_name,aspect_name,activity_name,data_source_name,trigger_name
"314427","0",1990-02-09Z,Rock falls from eastern flank of  Spencer Range,"1","101","2","1","2",,"0","0",172.631411043675,-42.1396291884681,small,Chaotic,Rock,Fall,Unknown,Unknown,Landslide catalogue,unknown
"314428","1",1990-02-09Z,Rock falls from western flanks of St James Range,"1","101","2","1","2",,"0","0",172.674182669806,-42.1539433953667,small,Chaotic,Rock,Fall,Unknown,Unknown,Landslide catalogue,unknown
"314429","2",1990-02-09Z,Incipient failures of talus slopes,"1","1","1","2","3",,"0","0",172.673819532321,-42.2448307583617,small,Blocky,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,Earthquake
"314430","3",1990-02-09Z,Gouged furrows from rocks in soft ground,"1","1","2","1","2",,"0","0",172.673940221187,-42.2449211464956,small,Chaotic,Rock,Fall,Unknown,Unknown,Landslide catalogue,Earthquake
"314431","4",1990-02-09Z,Rock fall from ridge crest,"1","101","2","1","2",,"0","0",172.68802407001,-42.180183070737,small,Chaotic,Rock,Fall,Unknown,Unknown,Landslide catalogue,unknown
"314432","5",1990-02-09Z,Incipient failures (cracks) on talus slopes and in side-cast fill,"1","1","1","2","3",,"0","0",172.689127410378,-42.2131383197171,small,Blocky,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,Earthquake
"314433","6",1990-02-09Z,Rock fall from ridge crest,"1","101","2","1","2",,"0","0",172.691354880391,-42.1797872746883,small,Chaotic,Rock,Fall,Unknown,Unknown,Landslide catalogue,unknown
"314434","7",1990-02-09Z,Rock spur falling into Princess Bath,"2","101","2","1","2",,"0","0",172.691826346904,-42.1823095257297,moderate,Chaotic,Rock,Fall,Unknown,Unknown,Landslide catalogue,unknown
"314435","8",1990-02-09Z,Rock fall from ridge crest,"1","101","2","1","2",,"0","0",172.696179222007,-42.1833119535409,small,Chaotic,Rock,Fall,Unknown,Unknown,Landslide catalogue,unknown
"314436","9",1990-02-09Z,Many ground cracks and tussock/topsoil slides,"1","101","1","2","4",,"0","0",172.715127796379,-42.1902950882929,small,Blocky,Soil,Translational slide,Unknown,Unknown,Landslide catalogue,unknown
"314437","10",1990-02-09Z,Collapse of vegetation mats onto talus slope,"1","1","2","2","3",,"0","0",172.715089659281,-42.2036199017499,small,Chaotic,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,Earthquake
"314438","11",1990-02-09Z,Gouged furrows from rocks in soft ground,"1","1","2","1","2",,"0","0",172.717059350279,-42.1966924270155,small,Chaotic,Rock,Fall,Unknown,Unknown,Landslide catalogue,Earthquake
"314439","12",1990-02-09Z,Ridge rents forming a graben,"101","1","1","101","5",,"0","0",172.728698762944,-42.2473652175711,unknown,Blocky,unknown,Subsidence,Unknown,Unknown,Landslide catalogue,Earthquake
"314440","13",1990-02-09Z,Incipient 10 m crack above rockfall site,"1","1","1","1","4",,"0","0",172.730731949399,-42.253402391224,small,Blocky,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"314441","14",1990-02-09Z,Gouged furrows from rocks in soft ground,"1","1","2","1","2",,"0","0",172.734256381587,-42.2787550401796,small,Chaotic,Rock,Fall,Unknown,Unknown,Landslide catalogue,Earthquake
"314442","15",1990-02-09Z,Incipient failures of talus slopes,"1","1","1","2","3",,"0","0",172.734378011358,-42.2786653024289,small,Blocky,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,Earthquake
"314443","16",1990-02-09Z,"Extensive areas of freshly exposed rock faces, and rock surfaces on talus slopes, some precarious tors had not failed","1","1","2","1","2",,"0","0",172.739452604646,-42.1981883035125,small,Chaotic,Rock,Fall,Unknown,Unknown,Landslide catalogue,Earthquake
"314444","17",1990-02-09Z,Incipient failures of talus slopes,"1","1","1","2","3",,"0","0",172.739430131457,-42.2315904801448,small,Blocky,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,Earthquake
"314445","18",1990-02-09Z,Gouged furrows from rocks in soft ground,"1","1","2","1","2",,"0","0",172.739551663232,-42.2315007359263,small,Chaotic,Rock,Fall,Unknown,Unknown,Landslide catalogue,Earthquake
"314446","19",1990-02-09Z,Subsidence of road fill at either end of bridge over Clarence River (100-150mm),"1","1","1","2","3",,"0","0",172.75441457047,-42.2259530150879,small,Blocky,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,Earthquake
"314447","20",1990-02-09Z,Fill failure over culvert on road,"1","1","1","2","3",,"0","0",172.757319761056,-42.2415351547481,small,Blocky,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,Earthquake
"314448","21",1990-02-09Z,Tension crack in river gravels,"1","101","1","2","3",,"0","0",172.757423196351,-42.2459469795086,small,Blocky,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,unknown
"314449","22",1990-02-09Z,Stream bank slumping,"1","101","1","2","3",,"0","0",172.75780441649,-42.241536228905,small,Blocky,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,unknown
"314450","23",1990-02-09Z,Subsidence in road fill and slumping of turf,"1","1","1","2","3",,"0","0",172.764646419883,-42.2580271169453,small,Blocky,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,Earthquake
"314451","24",1990-02-09Z,Boulders displaced from resting positions,"1","1","2","1","2",,"0","0",172.764767263778,-42.2581174096082,small,Chaotic,Rock,Fall,Unknown,Unknown,Landslide catalogue,Earthquake
"314452","25",1990-02-09Z,Fallen rocks on road,"1","1","2","1","2",,"0","0",172.770935557616,-42.2932880556305,small,Chaotic,Rock,Fall,Unknown,Unknown,Landslide catalogue,Earthquake
"314453","26",1990-02-09Z,Gouged furrows from rocks in soft ground,"1","1","2","1","2",,"0","0",172.771401449134,-42.2345429821152,small,Chaotic,Rock,Fall,Unknown,Unknown,Landslide catalogue,Earthquake
"314454","27",1990-02-09Z,Incipient failures of talus slopes,"1","1","1","2","3",,"0","0",172.771522941454,-42.2344532039323,small,Blocky,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,Earthquake
"314455","28",1990-02-09Z,Side-cast fill slumping on colluvium,"1","101","1","2","3",,"0","0",172.771515687279,-42.3001767029973,small,Blocky,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,unknown
"314456","29",1996-08-02Z,"1 ha of orchard lost; Turakina Valley Rd closed for 2 weeks","3","101","1","2","3",,"0","0",175.352293205934,-39.9075513985063,large,Blocky,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,unknown
"314457","30",1996-08-11Z,closure of SH2 for a week,"2","2","2","2","4",,"0","0",177.312909135322,-38.2271349394415,moderate,Chaotic,Soil,Translational slide,Unknown,Unknown,Landslide catalogue,Rainfall
"314458","31",1996-09-04Z,SH30 closed for a week,"2","2","2","2","4",,"0","0",176.423043949301,-38.0536265350752,moderate,Chaotic,Soil,Translational slide,Unknown,Unknown,Landslide catalogue,Rainfall
"314459","32",1996-10-15Z,garage blocked,"1","2","2","2","4",,"0","0",168.674455796718,-44.9884688535613,small,Chaotic,Soil,Translational slide,Unknown,Unknown,Landslide catalogue,Rainfall
"314460","33",1996-11-11Z,"Cracks closed Ringaringa Rd; vehicle access to 8 homes lost","1","101","101","2","3",,"0","0",168.141267646261,-46.9017811782325,small,Unknown,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,unknown
"314461","34",, ,"2","101","2","2","6",,"0","0",172.956397822561,-43.7481357617592,moderate,Chaotic,Soil,Creep,Unknown,Unknown,Landslide catalogue,unknown
"314462","35",,"damage to roads including slips, slumps and cracks","1","2","101","101","102",,"0","0",174.318521270032,-35.7030364233956,small,Unknown,unknown,not collected,Unknown,Unknown,Landslide catalogue,Rainfall
"314463","36",,Underslips and river erosion at 10 sites along SH2,"1","2","101","101","102",,"0","0",175.753769458251,-37.4156510950726,small,Unknown,unknown,not collected,Unknown,Unknown,Landslide catalogue,Rainfall
"314464","37",,"Kawhia Rd blocked for up to 4 months; 9 families affected","2","2","2","2","4",,"0","0",174.914424710182,-37.9201112401194,moderate,Chaotic,Soil,Translational slide,Unknown,Unknown,Landslide catalogue,Rainfall
"314465","38",,fence smashed at Observation Point and footpath obstructed,"1","101","2","1","2",,"0","0",170.626389346665,-45.8159216639145,small,Chaotic,Rock,Fall,Unknown,Unknown,Landslide catalogue,unknown
"314466","39",1997-01-11Z,retaining wall collapse,"1","2","2","2","8",,"0","0",170.529594391044,-45.8526667314443,small,Chaotic,Soil,Topple,Unknown,Unknown,Landslide catalogue,Rainfall
"314467","40",1997-01-11Z,road (SH88) slumped by up to 2m,"1","2","2","2","3",,"0","0",170.548332747563,-45.8665511842362,small,Chaotic,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,Rainfall
"314468","41",1997-01-11Z, ,"1","2","2","2","4",,"0","0",170.553631681908,-45.8630593630663,small,Chaotic,Soil,Translational slide,Unknown,Unknown,Landslide catalogue,Rainfall
"314469","42",1997-06-10Z,"SH2 open for single lane traffic; no major traffic problems","2","2","2","1","4",,"0","0",177.395193192204,-38.3187008361777,moderate,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Rainfall
"314470","43",1997-07-02Z,Puketapu Rd partially blocked,"1","2","2","2","101",,"0","0",176.816942872562,-39.5090244302751,small,Chaotic,Soil,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314471","44",1997-07-02Z,Milton Rd partially blocked,"1","2","2","2","101",,"0","0",176.897926576404,-39.4900812118106,small,Chaotic,Soil,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314472","45",1997-07-02Z,section of retaining bank broke,"1","2","2","2","101",,"0","0",176.907688700162,-39.4939874936604,small,Chaotic,Soil,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314473","46",1997-07-02Z,Coote Rd partially blocked,"1","2","2","2","101",,"0","0",176.907688700162,-39.4939874936604,small,Chaotic,Soil,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314474","47",1997-07-02Z,protective mesh fence flattened,"1","2","2","2","101",,"0","0",176.918747997013,-39.4776534746292,small,Chaotic,Soil,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314475","48",1997-07-02Z,large boulder in the centre of the lane,"1","2","2","2","101",,"0","0",176.918747997013,-39.4776534746292,small,Chaotic,Soil,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314476","49",1997-07-03Z,"SH2 closed at Raupunga; one-way lane open by pm 5-7-1997","2","101","101","2","3",,"0","0",177.145935664406,-39.0747500779614,moderate,Unknown,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,unknown
"314477","50",1997-07-05Z, ,"1","2","2","2","10",,"0","0",177.966876848813,-38.3982329291614,small,Chaotic,Soil,Flow,Unknown,Unknown,Landslide catalogue,Rainfall
"314478","51",1997-07-05Z,Waihora River blocked and permanently diverted,"2","2","2","2","10",,"0","0",177.966876848813,-38.3982329291614,moderate,Chaotic,Soil,Flow,Unknown,Unknown,Landslide catalogue,Rainfall
"314479","52",1997-07-29Z,"drains blocked; only two lanes for northbound traffic on SH1","2","101","2","2","4",,"0","0",174.809846102295,-41.2321965030214,moderate,Chaotic,Soil,Translational slide,Unknown,Unknown,Landslide catalogue,unknown
"314480","53",1997-08-11Z,Poerua River blocked,"3","2","2","1","4",,"0","0",170.560882140406,-43.2603694263229,large,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Rainfall
"314481","54",1997-08-13Z,"Road destroyed; threatening to block spillway gully of Patea Dam","3","101","2","2","6",,"0","0",174.567017467615,-39.5458020100659,large,Chaotic,Soil,Creep,Unknown,Unknown,Landslide catalogue,unknown
"314482","55",1997-08-22Z,Poerua River blocked,"3","101","2","1","4",,"0","0",170.560882140406,-43.2603694263229,large,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,unknown
"314483","56",1997-09-23Z,"Holiday home on Buffalo Beach Rd, Whitianga destroyed","1","2","2","2","10",,"0","0",175.70020730448,-36.798192225406,small,Chaotic,Soil,Flow,Unknown,Unknown,Landslide catalogue,Rainfall
"314484","57",1997-09-23Z,"Water tank in Florence Place cracked, debris onto houses","1","2","2","2","10",,"0","0",175.814171044736,-36.8443487321434,small,Chaotic,Soil,Flow,Unknown,Unknown,Landslide catalogue,Rainfall
"314485","58",1997-09-27Z, ,"1","2","101","101","101",,"0","0",174.601331738297,-36.9455125676706,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314486","59",1997-09-27Z,"4 car-parks blocked; trees left on the hill a threat to offices","1","2","2","2","3",,"0","0",174.772813804736,-36.8454640519022,small,Chaotic,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,Rainfall
"314487","60",1997-09-27Z,"2 houses destroyed, one damaged; cat missing;","1","2","2","2","4",,"0","0",174.795699919001,-36.8631094721558,small,Chaotic,Soil,Translational slide,Unknown,Unknown,Landslide catalogue,Rainfall
"314488","61",1997-09-30Z,Graves in danger of being exposed,"1","2","101","2","3",,"0","0",173.741442391002,-35.0539423645138,small,Unknown,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,Rainfall
"314489","62",1997-10-08Z,"11 people were evacuated; a 2m high retaining wall collapsed","2","2","2","2","4",,"0","0",173.868737210499,-35.9360376566274,moderate,Chaotic,Soil,Translational slide,Unknown,Unknown,Landslide catalogue,Rainfall
"314490","63",1997-10-08Z, ,"1","2","101","101","101",,"0","0",174.421862670299,-36.0756821424856,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314491","64",1997-10-13Z,3 Upland Rd homes evacuated,"1","101","2","2","4",,"0","0",174.761223490727,-41.2878871267955,small,Chaotic,Soil,Translational slide,Unknown,Unknown,Landslide catalogue,unknown
"314492","65",1997-11-28Z,"Car-Park threatened; visitors access narrowed down","2","2","2","2","4",,"0","0",170.16803303259,-43.4277969412913,moderate,Chaotic,Soil,Translational slide,Unknown,Unknown,Landslide catalogue,Rainfall
"314493","66",1997-12-15Z,one house seriously damaged,"1","2","2","2","10",,"0","0",171.413250277089,-42.3642535233846,small,Chaotic,Soil,Flow,Unknown,Unknown,Landslide catalogue,Rainfall
"314494","67",,posing danger to road at Tutukaka,"1","2","2","2","4",,"0","0",174.524205772578,-35.6100551380292,small,Chaotic,Soil,Translational slide,Unknown,Unknown,Landslide catalogue,Rainfall
"314495","68",,Rafting companies could not use river because of new lake,"1","100","2","2","4",,"0","0",168.652741976682,-44.9389925059406,small,Chaotic,Soil,Translational slide,Unknown,Unknown,Landslide catalogue,other
"314496","69",, ,"1","101","2","1","2",,"0","0",171.22278292827,-42.444260910924,small,Chaotic,Rock,Fall,Unknown,Unknown,Landslide catalogue,unknown
"314497","70",,Waihi Netball Courts cracking and slumping,"2","100","2","101","5",,"0","0",175.838685048289,-37.39097932605,moderate,Chaotic,unknown,Subsidence,Unknown,Unknown,Landslide catalogue,other
"314498","71",,SH 2 probably blocked,"2","2","101","1","4",,"0","0",177.55021604938,-39.0315660349647,moderate,Unknown,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Rainfall
"314499","72",,farmland stripped of alluvial topsoil,"2","2","101","101","101",,"0","0",177.671804185505,-38.9625819683172,moderate,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314500","73",,Road to Ocean Beach made impassable,"2","2","2","2","3",,"0","0",177.000214331428,-39.731579219847,moderate,Chaotic,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,Rainfall
"314501","74",1998-02-17Z,Damaged car,"1","101","1","1","2",,"0","0",172.905046142558,-41.0265788602862,small,Blocky,Rock,Fall,Unknown,Unknown,Landslide catalogue,unknown
"314502","75",1998-02-24Z,damaged road and house,"1","101","101","2","4",,"0","0",174.651712200425,-36.9393354250302,small,Unknown,Soil,Translational slide,Unknown,Unknown,Landslide catalogue,unknown
"314503","76",1998-04-03Z,two damaged houses,"1","101","1","1","2",,"0","0",173.870386595625,-35.9351213183796,small,Blocky,Rock,Fall,Unknown,Unknown,Landslide catalogue,unknown
"314504","77",1998-04-30Z,3m deep cut in the land,"1","2","101","101","101",,"0","0",174.8762938495,-37.2312771866421,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314505","78",1998-07-03Z, ,"1","2","2","2","4",,"0","0",174.757939489095,-41.2766787936893,small,Chaotic,Soil,Translational slide,Unknown,Unknown,Landslide catalogue,Rainfall
"314506","79",1998-07-09Z,"dead sheep and lamb, damaged fence","2","2","2","2","4",,"0","0",176.127666260695,-37.8214608130655,moderate,Chaotic,Soil,Translational slide,Unknown,Unknown,Landslide catalogue,Rainfall
"314507","80",1998-07-14Z,power line cutted,"1","101","101","101","101",,"0","0",173.531485525449,-34.9924236436844,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,unknown
"314508","81",1998-07-14Z,damaged garage,"1","101","101","101","101",,"0","0",174.69188544738,-36.7237488139081,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,unknown
"314509","82",1998-07-14Z,damaged road,"1","2","101","2","4",,"0","0",174.829504936977,-36.8476670805699,small,Unknown,Soil,Translational slide,Unknown,Unknown,Landslide catalogue,Rainfall
"314510","83",1998-07-14Z, ,"1","101","101","101","101",,"0","0",175.047858469782,-37.2773063404496,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,unknown
"314511","84",1998-07-14Z,damaged backyard,"2","2","101","101","101",,"0","0",175.29061423922,-37.803435998271,moderate,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314512","85",1998-07-27Z,blocked Highway,"2","2","101","101","101",,"0","0",174.429521834711,-36.0967561108357,moderate,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314513","86",1998-07-27Z,blocked Highway,"2","2","101","101","101",,"0","0",174.473332435234,-36.3259649890512,moderate,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314514","87",1998-07-27Z, ,"2","2","101","101","101",,"0","0",174.470052059076,-35.9934422451012,moderate,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314515","88",1998-07-27Z,damaged house,"2","2","2","2","4",,"0","0",174.531890793725,-35.8321162634995,moderate,Chaotic,Soil,Translational slide,Unknown,Unknown,Landslide catalogue,Rainfall
"314516","89",1998-07-27Z,damaged houses,"1","2","101","101","101",,"0","0",174.640562195673,-36.9660949869356,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314517","90",1998-07-27Z,blocked Makakaho stream,"2","2","2","2","101",,"0","0",174.823212328789,-39.5734921395111,moderate,Chaotic,Soil,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314518","91",1998-08-10Z,damaged house,"1","2","2","2","101",,"0","0",175.516058815875,-37.0890916779426,small,Chaotic,Soil,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314519","92",1998-08-16Z, ,"1","101","1","1","101",,"0","0",174.07393771944,-39.0619837429129,small,Blocky,Rock,unknown,Unknown,Unknown,Landslide catalogue,unknown
"314520","93",1998-08-17Z, ,"3","2","2","2","4",,"0","0",174.002746904625,-39.3216623889119,large,Chaotic,Soil,Translational slide,Unknown,Unknown,Landslide catalogue,Rainfall
"314521","94",1998-09-03Z, ,"2","2","2","2","3",,"0","0",170.48389576028,-45.9120174816396,moderate,Chaotic,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,Rainfall
"314522","95",1998-09-21Z, ,"2","2","101","101","101",,"0","0",175.047858469782,-37.2773063404496,moderate,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314523","96",1998-09-24Z,damaged mine,"2","101","1","1","2",,"0","0",171.29555129953,-42.3395850015818,moderate,Blocky,Rock,Fall,Unknown,Unknown,Landslide catalogue,unknown
"314524","97",1998-10-08Z, ,"1","100","101","101","101",,"0","0",173.268684855313,-41.2662940955407,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,other
"314525","98",1998-10-10Z,10 m deep trench through SH 45,"2","2","2","2","10",,"0","0",174.025076087222,-39.1529927156237,moderate,Chaotic,Soil,Flow,Unknown,Unknown,Landslide catalogue,Rainfall
"314526","99",1998-10-10Z,damaged new carpark,"2","2","2","2","4",,"0","0",174.938270827503,-41.1769763753162,moderate,Chaotic,Soil,Translational slide,Unknown,Unknown,Landslide catalogue,Rainfall
"314527","100",1998-10-18Z, ,"1","2","101","101","101",,"0","0",177.314620323484,-38.2270701705403,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314528","101",1998-10-22Z, ,"1","2","2","2","2",,"0","0",174.899475865191,-41.0299023265959,small,Chaotic,Soil,Fall,Unknown,Unknown,Landslide catalogue,Rainfall
"314529","102",1998-10-22Z, ,"1","2","2","2","2",,"0","0",174.934084733631,-41.033832139355,small,Chaotic,Soil,Fall,Unknown,Unknown,Landslide catalogue,Rainfall
"314530","103",1998-10-22Z, ,"1","2","2","101","101",,"0","0",174.976858671476,-40.9124068319711,small,Chaotic,unknown,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314531","104",1998-10-22Z, ,"1","2","2","101","101",,"0","0",174.976977349276,-40.9124048005842,small,Chaotic,unknown,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314532","105",1998-10-22Z, ,"1","2","2","101","101",,"0","0",174.977096027067,-40.9124027690763,small,Chaotic,unknown,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314533","106",1998-10-22Z, ,"1","2","2","101","101",,"0","0",174.97721470485,-40.9124007374475,small,Chaotic,unknown,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314534","107",1998-10-22Z, ,"1","2","2","101","101",,"0","0",174.977333382624,-40.9123987056977,small,Chaotic,unknown,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314535","108",1998-10-22Z, ,"1","2","2","101","101",,"0","0",174.97745206039,-40.912396673827,small,Chaotic,unknown,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314536","109",1998-10-22Z, ,"1","2","2","101","101",,"0","0",174.977570738147,-40.9123946418353,small,Chaotic,unknown,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314537","110",1998-10-22Z, ,"1","2","2","101","101",,"0","0",174.977808093635,-40.912390577489,small,Chaotic,unknown,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314538","111",1998-10-22Z, ,"1","2","2","101","101",,"0","0",174.977926771366,-40.9123885451344,small,Chaotic,unknown,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314539","112",1998-10-22Z, ,"1","2","2","101","101",,"0","0",174.978045449089,-40.9123865126588,small,Chaotic,unknown,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314540","113",1998-10-22Z, ,"1","2","2","2","10",,"0","0",175.018395224288,-40.9116884691275,small,Chaotic,Soil,Flow,Unknown,Unknown,Landslide catalogue,Rainfall
"314541","114",1998-10-22Z, ,"1","2","2","2","10",,"0","0",175.018513898076,-40.9116863954727,small,Chaotic,Soil,Flow,Unknown,Unknown,Landslide catalogue,Rainfall
"314542","115",1998-10-22Z, ,"1","2","2","2","10",,"0","0",175.018632571855,-40.9116843216969,small,Chaotic,Soil,Flow,Unknown,Unknown,Landslide catalogue,Rainfall
"314543","116",1998-10-22Z, ,"1","2","2","2","10",,"0","0",175.018751245626,-40.9116822478002,small,Chaotic,Soil,Flow,Unknown,Unknown,Landslide catalogue,Rainfall
"314544","117",1998-10-22Z, ,"1","2","2","2","10",,"0","0",175.048556941389,-40.8886377983973,small,Chaotic,Soil,Flow,Unknown,Unknown,Landslide catalogue,Rainfall
"314545","118",1998-10-22Z, ,"1","2","2","2","10",,"0","0",175.170796626693,-40.8152405540345,small,Chaotic,Soil,Flow,Unknown,Unknown,Landslide catalogue,Rainfall
"314546","119",1998-10-22Z, ,"1","2","2","2","10",,"0","0",175.17091512325,-40.8152383262604,small,Chaotic,Soil,Flow,Unknown,Unknown,Landslide catalogue,Rainfall
"314547","120",1998-10-22Z, ,"1","2","2","2","10",,"0","0",175.171033619798,-40.8152360983659,small,Chaotic,Soil,Flow,Unknown,Unknown,Landslide catalogue,Rainfall
"314548","121",1998-10-22Z, ,"1","2","2","2","10",,"0","0",175.171152116337,-40.8152338703509,small,Chaotic,Soil,Flow,Unknown,Unknown,Landslide catalogue,Rainfall
"314549","122",1998-10-22Z, ,"1","2","2","2","10",,"0","0",175.171270612866,-40.8152316422155,small,Chaotic,Soil,Flow,Unknown,Unknown,Landslide catalogue,Rainfall
"314550","123",1998-10-22Z, ,"1","2","2","2","4",,"0","0",175.171389109385,-40.8152294139597,small,Chaotic,Soil,Translational slide,Unknown,Unknown,Landslide catalogue,Rainfall
"314551","124",1998-10-22Z, ,"1","2","2","2","4",,"0","0",175.171507605896,-40.8152271855835,small,Chaotic,Soil,Translational slide,Unknown,Unknown,Landslide catalogue,Rainfall
"314552","125",1998-10-22Z, ,"1","2","2","2","4",,"0","0",175.171626102396,-40.8152249570868,small,Chaotic,Soil,Translational slide,Unknown,Unknown,Landslide catalogue,Rainfall
"314553","126",1998-10-22Z, ,"1","2","2","2","4",,"0","0",175.171744598888,-40.8152227284697,small,Chaotic,Soil,Translational slide,Unknown,Unknown,Landslide catalogue,Rainfall
"314554","127",1998-10-22Z, ,"1","2","2","2","4",,"0","0",175.171863095369,-40.8152204997322,small,Chaotic,Soil,Translational slide,Unknown,Unknown,Landslide catalogue,Rainfall
"314555","128",1998-10-22Z, ,"1","2","101","101","101",,"0","0",175.19793189934,-40.8111239020469,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314556","129",1998-10-22Z, ,"1","2","101","101","101",,"0","0",175.200212559648,-40.8083779529241,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314557","130",1998-10-22Z, ,"1","2","2","2","101",,"0","0",175.214291752226,-40.8396381125783,small,Chaotic,Soil,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314558","131",1998-10-22Z, ,"1","2","1","1","101",,"0","0",175.214202038125,-40.8369373331359,small,Blocky,Rock,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314559","132",1998-10-22Z, ,"1","2","1","1","101",,"0","0",175.214082432967,-40.8333362899267,small,Blocky,Rock,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314560","133",1998-10-22Z, ,"1","2","2","2","101",,"0","0",175.214528826946,-40.839633567303,small,Chaotic,Soil,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314561","134",1998-12-03Z,damaged roads and houses,"2","2","2","2","101",,"0","0",175.847591913806,-37.0075806229236,moderate,Chaotic,Soil,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314562","135",,damaged road,"2","2","2","2","101",,"0","0",177.79300398736,-38.2413576849435,moderate,Chaotic,Soil,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314563","136",,200 eucalyptus trees wiped out,"2","2","101","101","101",,"0","0",176.472486927588,-38.0503156868876,moderate,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Rainfall
"314564","137",, ,"2","101","101","101","101",,"0","0",173.295058787055,-41.2927949122995,moderate,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,unknown
"314565","138",,two mines wiped out,"3","100","2","2","101",,"0","0",171.284571402082,-42.3416702216668,large,Chaotic,Soil,unknown,Unknown,Unknown,Landslide catalogue,other
"314566","139",, ,"1","101","101","101","101",,"0","0",174.706406500834,-36.9263081502523,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,unknown
