landslide_fid,id,time_of_occurrence,damage_description,size_category,trigger,debris_type,material_type,movement_type,metadata_id,aspect,activity,x_coordinate,y_coordinate,severity_name,debris_type_name,material_type_name,movement_type_name,aspect_name,activity_name,data_source_name,trigger_name
"315178","751",2003-08-21Z, ,"1","1","101","101","101",,"0","0",167.209247001498,-45.1949064819075,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"315179","752",2003-08-21Z, ,"1","1","101","101","101",,"0","0",167.199784008663,-45.2891514791397,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"315180","753",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.233362341559,-44.9723963793414,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315181","754",2003-08-21Z, ,"2","1","2","1","4",,"0","0",167.219687440041,-45.1160455163693,moderate,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315182","755",2003-08-21Z, ,"1","1","101","101","101",,"0","0",167.211785925355,-45.1950336837589,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"315183","756",2003-08-21Z, ,"3","1","2","1","2",,"0","0",167.182400349711,-45.4867387627802,large,Chaotic,Rock,Fall,Unknown,Unknown,Landslide catalogue,Earthquake
"315184","757",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.232761402953,-44.9976246862355,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315185","758",2003-08-21Z, ,"1","1","101","101","101",,"0","0",167.214324861249,-45.1951608288842,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"315186","759",2003-08-21Z, ,"1","1","101","101","101",,"0","0",167.19493592676,-45.4007671146242,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"315187","760",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.238624181009,-44.9897992778041,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315188","761",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.238445893929,-44.9915945245642,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315189","762",2003-08-21Z, ,"1","1","101","101","101",,"0","0",167.221006065717,-45.1666284144559,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"315190","763",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.242508050227,-44.9890913712936,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315191","764",2003-08-21Z,road blocked,"1","1","2","1","4",,"0","0",167.190974305836,-45.5034054309269,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315192","765",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.237620994945,-45.0510905402292,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315193","766",2003-08-21Z, ,"2","1","101","101","101",,"0","0",167.209174196653,-45.3356277674003,moderate,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"315194","767",2003-08-21Z, ,"1","1","101","101","101",,"0","0",167.248231749245,-44.9505880546779,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"315195","768",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.245037885227,-44.9892177787308,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315196","769",2003-08-21Z, ,"1","1","101","101","101",,"0","0",167.225315146611,-45.2128499898087,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"315197","770",2003-08-21Z, ,"1","1","101","101","101",,"0","0",167.224430797615,-45.2344556074633,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"315198","771",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.199441577862,-45.4830811803715,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315199","772",2003-08-21Z, ,"1","1","101","101","101",,"0","0",167.258113316792,-44.9213130109402,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"315200","773",2003-08-21Z, ,"1","1","101","101","101",,"0","0",167.233515572411,-45.1690577246669,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"315201","774",2003-08-21Z, ,"2","1","101","101","101",,"0","0",167.210695864802,-45.4223027221449,moderate,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"315202","775",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.254535114067,-44.9960063084201,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315203","776",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.244024393265,-45.1019264916079,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315204","777",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.25588907786,-44.9951717472686,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315205","778",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.257666035784,-44.9772189530154,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315206","779",2003-08-21Z, ,"1","1","101","101","101",,"0","0",167.238054469748,-45.1746966440985,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"315207","780",2003-08-21Z, ,"1","1","101","101","101",,"0","0",167.225139080595,-45.3039504838206,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"315208","781",2003-08-21Z, ,"1","1","2","1","4",,"0","0",167.258387177693,-44.9763528333186,small,Chaotic,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"315209","782",2003-08-21Z, ,"1","1","101","101","101",,"0","0",167.243792334108,-45.1298791444315,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
"315210","783",2003-08-21Z, ,"1","1","101","101","101",,"0","0",167.236996773025,-45.198097799812,small,Unknown,unknown,unknown,Unknown,Unknown,Landslide catalogue,Earthquake
